text,title,note,category,amount,day_of_month,day_of_week,is_weekend
Spent on Sneakers purchase with card Monthly shopping budget expense,Spent on Sneakers purchase with card,Monthly shopping budget expense,shopping,4971.75,24,1,0
Spent on Local bakery bread and cake urgent Paid via UPI for food,Spent on Local bakery bread and cake urgent,Paid via UPI for food,food,2259.91,11,3,0
Hostel fees payment for home Monthly rent budget expense,Hostel fees payment for home,Monthly rent budget expense,rent,22444.9,17,5,1
Paid for Concert musical event pass at store Personal spending on entertainment,Paid for Concert musical event pass at store,Personal spending on entertainment,entertainment,810.55,14,3,0
Spent on Netflix monthly subscription for home,Spent on Netflix monthly subscription for home,,entertainment,2945.45,26,0,0
Bill for Board game cafe bill with card,Bill for Board game cafe bill with card,,entertainment,1429.32,4,5,1
Spent on Audible audiobooks Personal spending on entertainment,Spent on Audible audiobooks,Personal spending on entertainment,entertainment,2170.6,24,6,1
Spent on Cult.fit fitness pass with card Monthly health budget expense,Spent on Cult.fit fitness pass with card,Monthly health budget expense,health,6552.63,21,5,1
Purchase at Office space rent share via GPay,Purchase at Office space rent share via GPay,,rent,27817.16,9,4,0
Paid for Society maintenance bill urgent Monthly rent budget expense,Paid for Society maintenance bill urgent,Monthly rent budget expense,rent,5273.59,7,6,1
Txn: Club weekend party entry with card Personal spending on entertainment,Txn: Club weekend party entry with card,Personal spending on entertainment,entertainment,995.91,14,2,0
Paid for Uber cab ride to office via GPay Monthly transport budget expense,Paid for Uber cab ride to office via GPay,Monthly transport budget expense,transport,3702.52,4,3,0
Spent on Doctor consultation fee,Spent on Doctor consultation fee,,health,5030.38,21,2,0
Quick Yoga class subscription today Routine health item,Quick Yoga class subscription today,Routine health item,health,3039.1,18,0,0
Spent on EV charging station fee with card Paid via UPI for transport,Spent on EV charging station fee with card,Paid via UPI for transport,transport,1150.45,15,5,1
Quick PVR cinemas IMAX tickets urgent,Quick PVR cinemas IMAX tickets urgent,,entertainment,2878.41,4,2,0
Paid for H&M summer collection Monthly shopping budget expense,Paid for H&M summer collection,Monthly shopping budget expense,shopping,16106.77,7,0,0
Txn: Amazon Prime annual membership with card,Txn: Amazon Prime annual membership with card,,entertainment,1205.41,25,1,0
Spent on Ajio discount clothes urgent Monthly shopping budget expense,Spent on Ajio discount clothes urgent,Monthly shopping budget expense,shopping,16839.92,24,1,0
Quick Flight ticket Indigo to Mumbai via GPay Paid via UPI for transport,Quick Flight ticket Indigo to Mumbai via GPay,Paid via UPI for transport,transport,4244.88,27,0,0
Nike running shoes via GPay Routine shopping item,Nike running shoes via GPay,Routine shopping item,shopping,5911.17,6,1,0
Coding bootcamp installment with discount Monthly education budget expense,Coding bootcamp installment with discount,Monthly education budget expense,education,12114.6,10,6,1
Online Bus pass monthly renewal today Paid via UPI for transport,Online Bus pass monthly renewal today,Paid via UPI for transport,transport,3202.06,10,0,0
Spent on Gardening plants and soil with card Routine other item,Spent on Gardening plants and soil with card,Routine other item,other,334.33,6,6,1
Doctor consultation fee at store Monthly health budget expense,Doctor consultation fee at store,Monthly health budget expense,health,6693.97,26,2,0
Online Monthly apartment rent via GPay Paid via UPI for rent,Online Monthly apartment rent via GPay,Paid via UPI for rent,rent,16346.29,26,1,0
Spent on Concert musical event pass today Monthly entertainment budget expense,Spent on Concert musical event pass today,Monthly entertainment budget expense,entertainment,1169.14,14,5,1
Spent on Sunglasses purchase with discount Paid via UPI for shopping,Spent on Sunglasses purchase with discount,Paid via UPI for shopping,shopping,17966.37,25,5,1
Bill for Sunglasses purchase via GPay Monthly shopping budget expense,Bill for Sunglasses purchase via GPay,Monthly shopping budget expense,shopping,4263.74,26,4,0
Txn: Auto rickshaw cash fare today Personal spending on transport,Txn: Auto rickshaw cash fare today,Personal spending on transport,transport,2934.06,25,6,1
Legal notary & document stamps with discount Monthly other budget expense,Legal notary & document stamps with discount,Monthly other budget expense,other,5319.37,9,1,0
Online Casual t-shirt and hoodie at store,Online Casual t-shirt and hoodie at store,,shopping,1791.69,20,2,0
Paid for Myntra clothes shopping today,Paid for Myntra clothes shopping today,,shopping,12397.78,6,5,1
Txn: Office space rent share for home Paid via UPI for rent,Txn: Office space rent share for home,Paid via UPI for rent,rent,14977.86,24,0,0
Online Netflix monthly subscription Routine entertainment item,Online Netflix monthly subscription,Routine entertainment item,entertainment,1587.23,1,5,1
Quick Physiotherapy session at store Paid via UPI for health,Quick Physiotherapy session at store,Paid via UPI for health,health,6301.46,13,4,0
Quick Online test series subscription via GPay Personal spending on education,Quick Online test series subscription via GPay,Personal spending on education,education,19332.84,18,0,0
Paid for YouTube Premium family plan urgent Routine entertainment item,Paid for YouTube Premium family plan urgent,Routine entertainment item,entertainment,1746.4,9,5,1
Bill for Rapido bike taxi for home Personal spending on transport,Bill for Rapido bike taxi for home,Personal spending on transport,transport,1548.08,27,6,1
Bill for Flipkart electronics sale with card Monthly shopping budget expense,Bill for Flipkart electronics sale with card,Monthly shopping budget expense,shopping,6577.93,19,3,0
Paid for Casual t-shirt and hoodie with card Paid via UPI for shopping,Paid for Casual t-shirt and hoodie with card,Paid via UPI for shopping,shopping,856.01,16,2,0
Txn: PVR cinemas IMAX tickets today Routine entertainment item,Txn: PVR cinemas IMAX tickets today,Routine entertainment item,entertainment,841.49,24,4,0
Pizza Hut dinner urgent Personal spending on food,Pizza Hut dinner urgent,Personal spending on food,food,339.31,16,1,0
Purchase at Train ticket booking IRCTC via GPay Paid via UPI for transport,Purchase at Train ticket booking IRCTC via GPay,Paid via UPI for transport,transport,1918.15,27,4,0
Txn: Broadband WiFi internet bill via GPay,Txn: Broadband WiFi internet bill via GPay,,other,1377.23,4,1,0
Paid for Co-living monthly rent at store Routine rent item,Paid for Co-living monthly rent at store,Routine rent item,rent,19132.19,22,3,0
Paid for Amazon Prime annual membership with card Paid via UPI for entertainment,Paid for Amazon Prime annual membership with card,Paid via UPI for entertainment,entertainment,2728.75,24,2,0
Online Books and stationery store at store Routine education item,Online Books and stationery store at store,Routine education item,education,2222.16,20,6,1
Paid for IKEA home furniture,Paid for IKEA home furniture,,shopping,17935.08,13,1,0
Quick Flipkart electronics sale for home,Quick Flipkart electronics sale for home,,shopping,14153.86,9,5,1
Txn: Zomato lunch delivery with card Monthly food budget expense,Txn: Zomato lunch delivery with card,Monthly food budget expense,food,1841.88,8,5,1
Bill for Kindle e-book purchase with card Monthly education budget expense,Bill for Kindle e-book purchase with card,Monthly education budget expense,education,17098.68,5,0,0
Paid for Toll plaza FASTag recharge urgent Monthly transport budget expense,Paid for Toll plaza FASTag recharge urgent,Monthly transport budget expense,transport,155.62,15,0,0
Purchase at Auto rickshaw cash fare today,Purchase at Auto rickshaw cash fare today,,transport,328.93,16,4,0
Spent on Gift for friend birthday with card,Spent on Gift for friend birthday with card,,other,1761.14,19,3,0
Spent on Supermarket food supplies Routine food item,Spent on Supermarket food supplies,Routine food item,food,1066.75,22,3,0
Txn: Medplus health supplements urgent Monthly health budget expense,Txn: Medplus health supplements urgent,Monthly health budget expense,health,2582.4,2,3,0
BookMyShow movie tickets Paid via UPI for entertainment,BookMyShow movie tickets,Paid via UPI for entertainment,entertainment,1023.13,1,0,0
Paid for Nature's Basket gourmet items at store Routine food item,Paid for Nature's Basket gourmet items at store,Routine food item,food,532.22,12,2,0
Spent on Courier speed post delivery Personal spending on other,Spent on Courier speed post delivery,Personal spending on other,other,4352.43,22,5,1
Bill for Train ticket booking IRCTC today Paid via UPI for transport,Bill for Train ticket booking IRCTC today,Paid via UPI for transport,transport,3409.84,5,5,1
Quick Co-living monthly rent with card,Quick Co-living monthly rent with card,,rent,33430.91,25,4,0
Online ATM cash withdrawal unaccounted today Paid via UPI for other,Online ATM cash withdrawal unaccounted today,Paid via UPI for other,other,2909.11,12,6,1
Online Flat maintenance charge with discount Personal spending on rent,Online Flat maintenance charge with discount,Personal spending on rent,rent,31251.27,26,1,0
Txn: Security deposit installment with discount Personal spending on rent,Txn: Security deposit installment with discount,Personal spending on rent,rent,30728.92,2,2,0
Bank transaction charge urgent,Bank transaction charge urgent,,other,2231.35,9,2,0
Paid for Board game cafe bill with discount Personal spending on entertainment,Paid for Board game cafe bill with discount,Personal spending on entertainment,entertainment,2519.07,9,0,0
Quick Coffee beans purchase urgent Monthly food budget expense,Quick Coffee beans purchase urgent,Monthly food budget expense,food,2580.35,8,5,1
Online Room rent for current month for home,Online Room rent for current month for home,,rent,25399.95,7,4,0
Bill for Parking space monthly rent at store Personal spending on rent,Bill for Parking space monthly rent at store,Personal spending on rent,rent,31467.0,2,2,0
Txn: Physiotherapy session at store Paid via UPI for health,Txn: Physiotherapy session at store,Paid via UPI for health,health,4751.53,3,5,1
Concert musical event pass today Routine entertainment item,Concert musical event pass today,Routine entertainment item,entertainment,837.36,28,3,0
Spent on Electricity bill payment Monthly other budget expense,Spent on Electricity bill payment,Monthly other budget expense,other,4459.4,25,2,0
Purchase at Bedsheet and pillow covers via GPay Routine shopping item,Purchase at Bedsheet and pillow covers via GPay,Routine shopping item,shopping,1370.99,12,5,1
Txn: Amusement park entry ticket for home Monthly entertainment budget expense,Txn: Amusement park entry ticket for home,Monthly entertainment budget expense,entertainment,946.81,15,6,1
Online Coding bootcamp installment via GPay Personal spending on education,Online Coding bootcamp installment via GPay,Personal spending on education,education,16286.08,26,0,0
Online Starbucks coffee & snack via GPay Monthly food budget expense,Online Starbucks coffee & snack via GPay,Monthly food budget expense,food,2415.48,9,0,0
Paid for Dermatologist skin treatment with card Routine health item,Paid for Dermatologist skin treatment with card,Routine health item,health,6301.87,13,0,0
Online Pet food and veterinary care Routine other item,Online Pet food and veterinary care,Routine other item,other,5365.78,4,0,0
Quick Yoga class subscription with discount Paid via UPI for health,Quick Yoga class subscription with discount,Paid via UPI for health,health,838.19,9,2,0
Spent on Parking fee at mall urgent Paid via UPI for transport,Spent on Parking fee at mall urgent,Paid via UPI for transport,transport,1387.75,2,5,1
Online Yoga class subscription with card Monthly health budget expense,Online Yoga class subscription with card,Monthly health budget expense,health,1096.85,4,4,0
ATM cash withdrawal unaccounted at store Routine other item,ATM cash withdrawal unaccounted at store,Routine other item,other,1528.91,15,6,1
Purchase at Nature's Basket gourmet items at store Monthly food budget expense,Purchase at Nature's Basket gourmet items at store,Monthly food budget expense,food,2776.11,15,1,0
Quick Toll plaza FASTag recharge today,Quick Toll plaza FASTag recharge today,,transport,3488.42,20,6,1
Home repair and plumbing at store Monthly other budget expense,Home repair and plumbing at store,Monthly other budget expense,other,3870.61,9,6,1
Paid for Backpack for travel with discount,Paid for Backpack for travel with discount,,shopping,8184.66,24,4,0
Quick Flight ticket Indigo to Mumbai via GPay Monthly transport budget expense,Quick Flight ticket Indigo to Mumbai via GPay,Monthly transport budget expense,transport,1312.15,10,6,1
Txn: House rent payment via UPI Paid via UPI for rent,Txn: House rent payment via UPI,Paid via UPI for rent,rent,8729.78,25,2,0
Txn: H&M summer collection with card Routine shopping item,Txn: H&M summer collection with card,Routine shopping item,shopping,14727.66,23,3,0
Paid for PVR cinemas IMAX tickets via GPay,Paid for PVR cinemas IMAX tickets via GPay,,entertainment,1497.87,3,6,1
Broadband WiFi internet bill at store Paid via UPI for other,Broadband WiFi internet bill at store,Paid via UPI for other,other,1700.24,9,1,0
Quick Bike maintenance and repair with discount Routine transport item,Quick Bike maintenance and repair with discount,Routine transport item,transport,1367.28,7,3,0
Paid for Car servicing & oil change via GPay Monthly transport budget expense,Paid for Car servicing & oil change via GPay,Monthly transport budget expense,transport,964.5,27,2,0
Paid for Blood test and full body checkup with card Monthly health budget expense,Paid for Blood test and full body checkup with card,Monthly health budget expense,health,4816.61,21,1,0
Fresh meat and fish store with discount Paid via UPI for food,Fresh meat and fish store with discount,Paid via UPI for food,food,466.32,21,4,0
Flipkart electronics sale for home Personal spending on shopping,Flipkart electronics sale for home,Personal spending on shopping,shopping,15732.12,3,5,1
Spent on Ayurvedic medicines purchase today Paid via UPI for health,Spent on Ayurvedic medicines purchase today,Paid via UPI for health,health,6316.57,21,1,0
Purchase at PlayStation PS Plus subscription via GPay Paid via UPI for entertainment,Purchase at PlayStation PS Plus subscription via GPay,Paid via UPI for entertainment,entertainment,1084.01,4,0,0
Bill for Coursera specialization certification urgent Personal spending on education,Bill for Coursera specialization certification urgent,Personal spending on education,education,7117.57,14,6,1
Purchase at Security deposit installment for home Paid via UPI for rent,Purchase at Security deposit installment for home,Paid via UPI for rent,rent,17583.34,25,6,1
Quick Amazon Prime annual membership via GPay,Quick Amazon Prime annual membership via GPay,,entertainment,2215.26,12,0,0
Purchase at Society maintenance bill Personal spending on rent,Purchase at Society maintenance bill,Personal spending on rent,rent,12318.9,5,1,0
Txn: YouTube Premium family plan for home Personal spending on entertainment,Txn: YouTube Premium family plan for home,Personal spending on entertainment,entertainment,1630.8,22,5,1
Hotstar subscription plan for home Paid via UPI for entertainment,Hotstar subscription plan for home,Paid via UPI for entertainment,entertainment,277.48,11,0,0
Paid for Tax filing CA consultancy fee with discount Routine other item,Paid for Tax filing CA consultancy fee with discount,Routine other item,other,4868.94,9,6,1
Bill for Gym membership monthly renewal via GPay Paid via UPI for health,Bill for Gym membership monthly renewal via GPay,Paid via UPI for health,health,2387.89,16,3,0
Purchase at Home repair and plumbing urgent Routine other item,Purchase at Home repair and plumbing urgent,Routine other item,other,3436.41,26,4,0
Purchase at Flipkart electronics sale today Monthly shopping budget expense,Purchase at Flipkart electronics sale today,Monthly shopping budget expense,shopping,5368.69,2,3,0
Spent on Fresh meat and fish store today Paid via UPI for food,Spent on Fresh meat and fish store today,Paid via UPI for food,food,1126.06,5,5,1
Bill for Pet food and veterinary care at store,Bill for Pet food and veterinary care at store,,other,3031.35,8,6,1
Quick Bowling & gaming arcade Personal spending on entertainment,Quick Bowling & gaming arcade,Personal spending on entertainment,entertainment,1831.45,4,0,0
Online Apollo Pharmacy medicines via GPay Routine health item,Online Apollo Pharmacy medicines via GPay,Routine health item,health,6905.72,26,2,0
Quick Kitchen cookware set Paid via UPI for shopping,Quick Kitchen cookware set,Paid via UPI for shopping,shopping,2029.41,2,4,0
Purchase at H&M summer collection with discount,Purchase at H&M summer collection with discount,,shopping,947.04,5,3,0
Paid for Bike maintenance and repair with discount Monthly transport budget expense,Paid for Bike maintenance and repair with discount,Monthly transport budget expense,transport,1370.09,22,3,0
Spent on Supermarket food supplies for home Personal spending on food,Spent on Supermarket food supplies for home,Personal spending on food,food,318.46,24,5,1
Purchase at Eye checkup and new glasses urgent Paid via UPI for health,Purchase at Eye checkup and new glasses urgent,Paid via UPI for health,health,7515.08,18,4,0
Txn: Amazon Prime annual membership today Paid via UPI for entertainment,Txn: Amazon Prime annual membership today,Paid via UPI for entertainment,entertainment,453.35,19,2,0
Purchase at Online test series subscription for home Routine education item,Purchase at Online test series subscription for home,Routine education item,education,23198.1,20,5,1
Online YouTube Premium family plan with card Personal spending on entertainment,Online YouTube Premium family plan with card,Personal spending on entertainment,entertainment,684.42,24,0,0
Spent on Courier speed post delivery with discount,Spent on Courier speed post delivery with discount,,other,4403.15,8,1,0
Flight ticket Indigo to Mumbai via GPay Personal spending on transport,Flight ticket Indigo to Mumbai via GPay,Personal spending on transport,transport,999.08,13,6,1
Quick Cycle repair & parts with card Routine transport item,Quick Cycle repair & parts with card,Routine transport item,transport,2104.43,23,0,0
Purchase at Doctor consultation fee today Routine health item,Purchase at Doctor consultation fee today,Routine health item,health,2823.58,4,0,0
Quick Interstate Volvo bus ticket at store Monthly transport budget expense,Quick Interstate Volvo bus ticket at store,Monthly transport budget expense,transport,2295.65,1,2,0
Spent on KFC chicken bucket via GPay Routine food item,Spent on KFC chicken bucket via GPay,Routine food item,food,247.97,22,5,1
Spent on YouTube Premium family plan via GPay Paid via UPI for entertainment,Spent on YouTube Premium family plan via GPay,Paid via UPI for entertainment,entertainment,1438.03,16,3,0
Txn: Cult.fit fitness pass at store Routine health item,Txn: Cult.fit fitness pass at store,Routine health item,health,2683.1,7,6,1
Txn: Bedsheet and pillow covers via GPay,Txn: Bedsheet and pillow covers via GPay,,shopping,12991.95,7,4,0
Spent on Web development workshop fee with card Routine education item,Spent on Web development workshop fee with card,Routine education item,education,20709.18,4,0,0
Quick KFC chicken bucket Personal spending on food,Quick KFC chicken bucket,Personal spending on food,food,1775.24,3,2,0
Quick Decathlon sportswear and gear today Routine shopping item,Quick Decathlon sportswear and gear today,Routine shopping item,shopping,17494.01,7,6,1
Bill for Mobile postpaid monthly bill for home Monthly other budget expense,Bill for Mobile postpaid monthly bill for home,Monthly other budget expense,other,2910.78,1,2,0
Txn: Uber cab ride to office with card Personal spending on transport,Txn: Uber cab ride to office with card,Personal spending on transport,transport,2524.71,1,5,1
Online Spotify premium music renewal at store Paid via UPI for entertainment,Online Spotify premium music renewal at store,Paid via UPI for entertainment,entertainment,2555.47,15,6,1
Spent on Zara shirt and jeans with discount Routine shopping item,Spent on Zara shirt and jeans with discount,Routine shopping item,shopping,17804.71,3,5,1
Bill for Hospital OPD registration Personal spending on health,Bill for Hospital OPD registration,Personal spending on health,health,7171.04,22,5,1
Pet food and veterinary care via GPay Monthly other budget expense,Pet food and veterinary care via GPay,Monthly other budget expense,other,2530.65,1,4,0
Spent on Breakfast at Saravana Bhavan via GPay Paid via UPI for food,Spent on Breakfast at Saravana Bhavan via GPay,Paid via UPI for food,food,213.01,3,6,1
Purchase at Petrol pump fuel refill for home,Purchase at Petrol pump fuel refill for home,,transport,850.95,21,5,1
Board game cafe bill via GPay Monthly entertainment budget expense,Board game cafe bill via GPay,Monthly entertainment budget expense,entertainment,856.05,27,2,0
Paid for Pet food and veterinary care with discount,Paid for Pet food and veterinary care with discount,,other,2228.59,1,1,0
Bus pass monthly renewal Monthly transport budget expense,Bus pass monthly renewal,Monthly transport budget expense,transport,3584.93,20,2,0
Bill for Co-living monthly rent Routine rent item,Bill for Co-living monthly rent,Routine rent item,rent,11772.0,4,1,0
Online McDonald's burger meal today Routine food item,Online McDonald's burger meal today,Routine food item,food,1788.45,17,5,1
Bill for Laundry dry cleaning for home Monthly other budget expense,Bill for Laundry dry cleaning for home,Monthly other budget expense,other,5702.01,19,2,0
Bill for Society maintenance bill Paid via UPI for rent,Bill for Society maintenance bill,Paid via UPI for rent,rent,16867.04,6,1,0
Purchase at GRE / TOEFL exam registration today Personal spending on education,Purchase at GRE / TOEFL exam registration today,Personal spending on education,education,3633.56,17,3,0
Paid for PVR cinemas IMAX tickets urgent Personal spending on entertainment,Paid for PVR cinemas IMAX tickets urgent,Personal spending on entertainment,entertainment,2347.85,2,2,0
Purchase at Croma electronics cable & charger for home Routine shopping item,Purchase at Croma electronics cable & charger for home,Routine shopping item,shopping,16474.16,13,1,0
Quick Co-living monthly rent urgent Routine rent item,Quick Co-living monthly rent urgent,Routine rent item,rent,31495.96,20,6,1
Purchase at Sunglasses purchase with card Paid via UPI for shopping,Purchase at Sunglasses purchase with card,Paid via UPI for shopping,shopping,7893.11,15,2,0
Quick Juice center fresh juice for home Paid via UPI for food,Quick Juice center fresh juice for home,Paid via UPI for food,food,1921.2,9,4,0
Paid for Parking space monthly rent Paid via UPI for rent,Paid for Parking space monthly rent,Paid via UPI for rent,rent,20811.67,15,5,1
Purchase at Parking fee at mall with card,Purchase at Parking fee at mall with card,,transport,2292.82,8,5,1
Txn: Laundry dry cleaning with discount Monthly other budget expense,Txn: Laundry dry cleaning with discount,Monthly other budget expense,other,2888.99,6,2,0
Quick Zara shirt and jeans urgent,Quick Zara shirt and jeans urgent,,shopping,6672.18,17,1,0
Online Eye checkup and new glasses Monthly health budget expense,Online Eye checkup and new glasses,Monthly health budget expense,health,2309.18,10,0,0
Quick Gift for friend birthday for home,Quick Gift for friend birthday for home,,other,502.81,27,3,0
Spent on Club weekend party entry today,Spent on Club weekend party entry today,,entertainment,2719.72,5,6,1
Spent on Organic fruit market with discount Routine food item,Spent on Organic fruit market with discount,Routine food item,food,3340.56,25,3,0
Bill for PG accommodation fee today Personal spending on rent,Bill for PG accommodation fee today,Personal spending on rent,rent,40641.03,3,1,0
Amazon online purchase for home,Amazon online purchase for home,,shopping,8457.89,28,4,0
Bill for PVR cinemas IMAX tickets at store Routine entertainment item,Bill for PVR cinemas IMAX tickets at store,Routine entertainment item,entertainment,596.35,6,2,0
GRE / TOEFL exam registration Monthly education budget expense,GRE / TOEFL exam registration,Monthly education budget expense,education,14717.76,28,2,0
Quick Gift for friend birthday Personal spending on other,Quick Gift for friend birthday,Personal spending on other,other,4216.92,1,1,0
Txn: Dental clinic root canal visit today Personal spending on health,Txn: Dental clinic root canal visit today,Personal spending on health,health,2839.35,5,4,0
Purchase at Board game cafe bill with discount Paid via UPI for entertainment,Purchase at Board game cafe bill with discount,Paid via UPI for entertainment,entertainment,2623.95,27,0,0
Quick Broadband WiFi internet bill Routine other item,Quick Broadband WiFi internet bill,Routine other item,other,246.87,13,0,0
Txn: Eye checkup and new glasses with discount Monthly health budget expense,Txn: Eye checkup and new glasses with discount,Monthly health budget expense,health,444.82,26,2,0
Online Storage locker monthly rental urgent Routine rent item,Online Storage locker monthly rental urgent,Routine rent item,rent,40669.49,7,3,0
Quick Mobile postpaid monthly bill at store Paid via UPI for other,Quick Mobile postpaid monthly bill at store,Paid via UPI for other,other,3072.03,14,1,0
Bill for Water tanker for society with discount Routine rent item,Bill for Water tanker for society with discount,Routine rent item,rent,33314.92,27,0,0
Bill for Concert musical event pass today,Bill for Concert musical event pass today,,entertainment,1400.86,5,2,0
Paid for Courier speed post delivery urgent,Paid for Courier speed post delivery urgent,,other,1105.01,12,1,0
Paid for Society maintenance bill with discount Personal spending on rent,Paid for Society maintenance bill with discount,Personal spending on rent,rent,11924.84,23,2,0
Spent on Metro card monthly recharge via GPay Personal spending on transport,Spent on Metro card monthly recharge via GPay,Personal spending on transport,transport,962.05,19,6,1
Bill for Petrol pump fuel refill Monthly transport budget expense,Bill for Petrol pump fuel refill,Monthly transport budget expense,transport,113.63,7,6,1
Purchase at Uber cab ride to office urgent Routine transport item,Purchase at Uber cab ride to office urgent,Routine transport item,transport,4268.93,25,2,0
Online Coding bootcamp installment with card Routine education item,Online Coding bootcamp installment with card,Routine education item,education,9402.14,4,5,1
Quick House cleaning service Urban Company Paid via UPI for other,Quick House cleaning service Urban Company,Paid via UPI for other,other,1850.54,18,4,0
Paid for Sunglasses purchase with card Routine shopping item,Paid for Sunglasses purchase with card,Routine shopping item,shopping,7472.9,12,3,0
Online Coding bootcamp installment today Paid via UPI for education,Online Coding bootcamp installment today,Paid via UPI for education,education,23339.16,24,3,0
Purchase at GRE / TOEFL exam registration with discount Monthly education budget expense,Purchase at GRE / TOEFL exam registration with discount,Monthly education budget expense,education,24330.26,18,2,0
Bill for Uber cab ride to office via GPay Routine transport item,Bill for Uber cab ride to office via GPay,Routine transport item,transport,2658.21,11,2,0
Online Metro card monthly recharge for home,Online Metro card monthly recharge for home,,transport,326.0,20,4,0
Spent on Tax filing CA consultancy fee with discount Paid via UPI for other,Spent on Tax filing CA consultancy fee with discount,Paid via UPI for other,other,5976.8,12,2,0
Spent on Gym membership monthly renewal,Spent on Gym membership monthly renewal,,health,3562.77,12,5,1
Spent on Oatmeal and cereal pack with discount Personal spending on food,Spent on Oatmeal and cereal pack with discount,Personal spending on food,food,2768.69,21,4,0
Purchase at Web development workshop fee Paid via UPI for education,Purchase at Web development workshop fee,Paid via UPI for education,education,2010.8,5,2,0
Quick Academic journal access fee at store Personal spending on education,Quick Academic journal access fee at store,Personal spending on education,education,14811.41,6,6,1
Txn: Society maintenance bill,Txn: Society maintenance bill,,rent,12759.23,23,1,0
IKEA home furniture with card Monthly shopping budget expense,IKEA home furniture with card,Monthly shopping budget expense,shopping,2309.5,26,6,1
Quick Apollo Pharmacy medicines for home,Quick Apollo Pharmacy medicines for home,,health,2162.42,11,2,0
Bill for Laundry dry cleaning via GPay Routine other item,Bill for Laundry dry cleaning via GPay,Routine other item,other,4209.52,5,4,0
Bill for Coursera specialization certification with card Paid via UPI for education,Bill for Coursera specialization certification with card,Paid via UPI for education,education,7273.04,20,3,0
Online Vitamin D & Calcium tablets at store Paid via UPI for health,Online Vitamin D & Calcium tablets at store,Paid via UPI for health,health,2675.57,19,4,0
Online Backpack for travel with card Routine shopping item,Online Backpack for travel with card,Routine shopping item,shopping,11958.46,12,3,0
Quick Tuition fee for coaching at store Personal spending on education,Quick Tuition fee for coaching at store,Personal spending on education,education,16597.38,26,6,1
Purchase at Board game cafe bill with card,Purchase at Board game cafe bill with card,,entertainment,1498.59,5,2,0
Tuition fee for coaching with card,Tuition fee for coaching with card,,education,15199.74,4,6,1
Purchase at College semester tuition fee today Routine education item,Purchase at College semester tuition fee today,Routine education item,education,23389.59,21,3,0
Spent on Online test series subscription at store,Spent on Online test series subscription at store,,education,10136.09,10,1,0
Bill for Technical reference book with card,Bill for Technical reference book with card,,education,12388.02,15,1,0
Coding bootcamp installment with card Monthly education budget expense,Coding bootcamp installment with card,Monthly education budget expense,education,20409.81,5,5,1
Mobile postpaid monthly bill for home Personal spending on other,Mobile postpaid monthly bill for home,Personal spending on other,other,5150.76,27,0,0
Online Croma electronics cable & charger via GPay Personal spending on shopping,Online Croma electronics cable & charger via GPay,Personal spending on shopping,shopping,2175.12,4,6,1
BookMyShow movie tickets urgent Paid via UPI for entertainment,BookMyShow movie tickets urgent,Paid via UPI for entertainment,entertainment,2717.2,6,6,1
Quick Ayurvedic medicines purchase via GPay Monthly health budget expense,Quick Ayurvedic medicines purchase via GPay,Monthly health budget expense,health,1373.93,13,2,0
Txn: GRE / TOEFL exam registration at store Routine education item,Txn: GRE / TOEFL exam registration at store,Routine education item,education,15239.43,2,4,0
Txn: Toll plaza FASTag recharge via GPay Routine transport item,Txn: Toll plaza FASTag recharge via GPay,Routine transport item,transport,1755.51,8,5,1
Society maintenance bill at store Paid via UPI for rent,Society maintenance bill at store,Paid via UPI for rent,rent,7146.17,11,2,0
Purchase at Dental clinic root canal visit via GPay Routine health item,Purchase at Dental clinic root canal visit via GPay,Routine health item,health,678.05,17,2,0
Casual t-shirt and hoodie with discount Monthly shopping budget expense,Casual t-shirt and hoodie with discount,Monthly shopping budget expense,shopping,5328.35,25,5,1
Spent on IKEA home furniture,Spent on IKEA home furniture,,shopping,15447.45,20,6,1
Spent on Electricity bill payment urgent Routine other item,Spent on Electricity bill payment urgent,Routine other item,other,1692.0,26,1,0
Monthly apartment rent with discount,Monthly apartment rent with discount,,rent,24368.66,6,1,0
Spent on Steam video game purchase with discount Personal spending on entertainment,Spent on Steam video game purchase with discount,Personal spending on entertainment,entertainment,1528.68,16,3,0
Purchase at Amusement park entry ticket with discount Paid via UPI for entertainment,Purchase at Amusement park entry ticket with discount,Paid via UPI for entertainment,entertainment,1313.34,5,3,0
Txn: Audible audiobooks for home,Txn: Audible audiobooks for home,,entertainment,1096.69,4,2,0
Spent on Water utility bill today Monthly other budget expense,Spent on Water utility bill today,Monthly other budget expense,other,2497.09,11,5,1
Txn: Sunglasses purchase via GPay Personal spending on shopping,Txn: Sunglasses purchase via GPay,Personal spending on shopping,shopping,11087.01,15,5,1
Paid for KFC chicken bucket for home Monthly food budget expense,Paid for KFC chicken bucket for home,Monthly food budget expense,food,318.98,7,2,0
IKEA home furniture today,IKEA home furniture today,,shopping,3173.72,28,5,1
Purchase at Hotstar subscription plan with discount Personal spending on entertainment,Purchase at Hotstar subscription plan with discount,Personal spending on entertainment,entertainment,1524.31,23,6,1
Spent on Brokerage fee for apartment Monthly rent budget expense,Spent on Brokerage fee for apartment,Monthly rent budget expense,rent,13841.89,23,4,0
Online PG accommodation fee for home,Online PG accommodation fee for home,,rent,28978.17,23,6,1
Online Amusement park entry ticket with card Personal spending on entertainment,Online Amusement park entry ticket with card,Personal spending on entertainment,entertainment,2856.97,3,6,1
